timestamp,anomaly_reason,detected_objects
2025-10-28 17:17:19,Food detected: bottle,"microwave, person, bottle"
2025-10-28 17:17:19,Food detected: bottle,bottle
2025-10-28 17:17:20,Food detected: bottle,bottle
2025-10-28 17:17:20,Empty chair detected,"bottle, bottle, chair"
2025-10-28 17:17:20,Empty chair detected,"bottle, chair"
2025-10-28 17:17:20,Empty chair detected,"chair, bottle"
2025-10-28 17:17:20,Empty chair detected,"chair, bottle"
2025-10-28 17:17:20,Empty chair detected,"chair, bottle"
2025-10-28 17:17:21,Empty chair detected,"chair, bottle"
2025-10-28 17:17:21,Empty chair detected,"chair, bottle"
2025-10-28 17:17:21,Empty chair detected,"chair, bottle"
2025-10-28 17:17:21,Empty chair detected,"chair, bottle"
2025-10-28 17:17:21,Empty chair detected,"chair, bottle, chair"
2025-10-28 17:17:21,Empty chair detected,"chair, bottle"
2025-10-28 17:17:22,Empty chair detected,"chair, bottle"
2025-10-28 17:17:22,Empty chair detected,"chair, bottle"
2025-10-28 17:17:22,Empty chair detected,"chair, bottle, chair"
2025-10-28 17:17:22,Empty chair detected,"microwave, chair, bottle"
2025-10-28 17:17:22,Empty chair detected,"dining table, chair, bottle, chair"
2025-10-28 17:17:22,Empty chair detected,"chair, bottle"
2025-10-28 17:17:22,Empty chair detected,"chair, chair"
2025-10-28 17:17:23,Empty chair detected,"bottle, chair"
2025-10-28 17:17:23,Empty chair detected,"bottle, chair"
2025-10-28 17:17:23,Empty chair detected,"chair, chair, bottle"
2025-10-28 17:17:23,Empty chair detected,"chair, bottle"
2025-10-28 17:17:23,Empty chair detected,"dining table, bottle, chair"
2025-10-28 17:17:23,Empty chair detected,"bottle, chair"
2025-10-28 17:17:24,Food detected: bottle,bottle
2025-10-28 17:17:24,Food detected: bottle,bottle
2025-10-28 17:17:24,Food detected: bottle,"microwave, bottle"
2025-10-28 17:17:24,Food detected: bottle,"microwave, bottle"
2025-10-28 17:17:24,Food detected: bottle,"book, oven, bottle"
2025-10-28 17:17:24,Food detected: bottle,"tv, bottle"
2025-10-28 17:17:25,Food detected: bottle,"microwave, bottle"
2025-10-28 17:17:25,Food detected: bottle,bottle
2025-10-28 17:17:25,Food detected: bottle,"book, bottle"
2025-10-28 17:17:25,Food detected: bottle,bottle
2025-10-28 17:17:25,Food detected: bottle,bottle
2025-10-28 17:17:25,Food detected: bottle,bottle
2025-10-28 17:17:26,Food detected: bottle,bottle
2025-10-28 17:17:26,Food detected: bottle,bottle
2025-10-28 17:17:26,Empty chair detected,"bottle, chair"
2025-10-28 17:17:26,Multiple people detected: 2 persons,"person, person"
2025-10-28 17:17:27,Empty chair detected,"chair, chair"
2025-10-28 17:17:27,Empty chair detected,"chair, chair, chair"
2025-10-28 17:17:27,Multiple people detected: 2 persons,"chair, chair, person, person"
2025-10-28 17:17:28,Empty chair detected,"chair, chair"
2025-10-28 17:17:28,Empty chair detected,"chair, chair"
2025-10-28 17:17:28,Multiple people detected: 2 persons,"chair, chair, chair, person, person"
2025-10-28 17:17:28,Empty chair detected,"chair, chair, chair"
2025-10-28 17:17:28,Empty chair detected,"chair, chair"
2025-10-28 17:17:28,Empty chair detected,"chair, chair"
